"","Anaspis funagata ","Bombus beaticola ","Eristalis tenax","Bombus honshuensis","Bombus consobrinus ","Bombus hypocrita","Eusphalerum parallelum ","Lasioglossum apristum","Meligethes morosus ","Oedemeronia subrobusta ","Bombus diversus","Byturus affinis ","Unidentified sp22 M_PL_056","Meliscaeva cinctella","Bombus ardens","Cheilosia sp3 M_PL_056","Dolichovespula norvegicoides ","Lasioglossum laeviventre ","Platycheirus scutatus","Parnara guttata ","Melanostoma transversum ","Pidonia grallatrix ","Cheilosia sp8 M_PL_056","Pidonia insuturata ","Syrphus vitripennis ","Cheilosia motodomariensis ","Unidentified sp46 M_PL_056","Pidonia testacea ","Chrysarthia viatica ","Unidentified sp23 M_PL_056","Empis flavofasalis ","Pidonia oyamae ","Cheilosia sp5 M_PL_056","Epuraea fergeri ","Syrphus ribessii ","Unidentified sp25 M_PL_056","Unidentified sp35 M_PL_056","Cheilosia sp6 M_PL_056","Lasioglossum nipponense ","Pseudalosterna misella ","Rhogogaster varipes","Cheilosia sp1 M_PL_056","Didea fasciata ","Lasioglossum problematicum","Pachytodes cometes ","Unidentified sp37 M_PL_056","Bornbus consobrinus ","Cheilosia sp12 M_PL_056","Lasioglossum atroglaucum ","Melanostoma scalare","Tachina jakovlevi ","Unidentified sp54 M_PL_056","Unidentified sp84 M_PL_056","Dolichovespula adulterina ","Leptura arcuata ","Epuraea sp1 M_PL_056","Lasioglossum albipes","Zophoessa callipteris ","Byturus sp1 M_PL_056","Cheilosia sp14 M_PL_056","Cheilosia sp16 M_PL_056","Corymbia variicornis ","Metasyrphus ferquens ","Nakanea vicaria ","Platycheirus sp1 M_PL_056","Unidentified sp59 M_PL_056","Unidentified sp73 M_PL_056","Unidentified sp93 M_PL_056","Adelphocoris rubripes ","Anastrangalis acotodes ","Anthocharis cardamines ","Byturus ohtai ","Calliphora sp1 M_PL_056","Curculio convexus ","Dexopollenia flava ","Ectinohoplia obducta ","Inachis io","Oligoneura itoi ","Onesia sp1 M_PL_056","Panorpodes paradoxa ","Sphaerophoria meuthastri ","Unidentified sp118 M_PL_056","Unidentified sp77 M_PL_056","Unidentified sp87 M_PL_056","Alcis angulifera ","Andrena lapponica","Cheilosia sp11 M_PL_056","Cheilosia sp2 M_PL_056","Cheilosia sp9 M_PL_056","Colias erate ","Conops flavipes","Corymbia succedanea ","Helophilus virgatus ","Hoplia communis ","Melanostoma mellinum","Metasyrphus luniger ","Papilio machaon","Pieris napi","Speyeria aglaja ","Syngrapha ain ","Unidentified sp105 M_PL_056","Unidentified sp19 M_PL_056","Unidentified sp3 M_PL_056","Unidentified sp31 M_PL_056","Unidentified sp45 M_PL_056","Unidentified sp71 M_PL_056","Xanthothyxus mongol ","Andrena togashii ","Anoploderomorpha excavata ","Balatala gracilis ","Cheilosia sp10 M_PL_056","Cheilosia sp13 M_PL_056","Corennys sericata ","Crossocerus sp1 M_PL_056","Cryptocephalus approximatus ","Dasysyrphus bilineatus ","Didea alneti ","Diglyphus minoeus ","Eristalis cerealis ","Hoplia moerens","Lasioglossum sp.K1 ","Lasioglossum sp.K2 ","Lupesus moorii ","Meliscaeva omogensis ","Mesembrina resplendens ","Micadocantharis japonicus ","Mordellistena sp1 M_PL_056","Parastrangalis nymphula ","Phytomia zonata ","Pidonia aegrota ","Pidonia masakii ","Pidonia puziloi ","Pidonia signata ","Pidonia signifera ","Platycheirus ambiguus ","Syrphus sp1 M_PL_056","Tachina politula ","Unidentified sp104 M_PL_056","Unidentified sp108 M_PL_056","Unidentified sp129 M_PL_056","Unidentified sp15 M_PL_056","Unidentified sp26 M_PL_056","Unidentified sp30 M_PL_056","Unidentified sp42 M_PL_056","Unidentified sp56 M_PL_056","Unidentified sp58 M_PL_056","Unidentified sp63 M_PL_056","Unidentified sp74 M_PL_056","Unidentified sp8 M_PL_056","Unidentified sp82 M_PL_056","Unidentified sp85 M_PL_056","Unidentified sp86 M_PL_056","Unidentified sp89 M_PL_056","Vespula schrenckii ","Vollucella jeddona ","Vollucella pellucens ","Alphostrombocerus komowi ","Anaria funebris ","Andrena aburana ","Andrena brenihirtiscopa ","Andrena longitibialis","Andrena parathoracina ","Andrena yamato ","Anthaxia reticulata ","Antherophagus nigricornis ","Apis mellifera","Argynnis paphia ","Asemum amurense ","Biphyllis throscoides ","Bombylius major","Bornbus beaticola ","Byturus atricollis ","Calliphora sp2 M_PL_056","Catoptria permiaca ","Cheilosia sp15 M_PL_056","Cheilosia sp17 M_PL_056","Cheilosia sp18 M_PL_056","Cheilosia sp4 M_PL_056","Cheilosia sp7 M_PL_056","Chrysocharis sp1 M_PL_056","Cosmia variegata ","Criorhina apicalis ","Dasysyrphus tricinctus","Dasytes vulgaris ","Didea nikkoensis ","Dioctria nakanensis ","Episyrphus balteatus","Forficula mikado ","Glyphipterix nigromarginata ","Gnorimus subopacus ","Gonepteryx aspasia ","Harmonia axyridis ","Hoshihananomia perlata ","Hylaeus paradifformis ","Hylaeus thoracius ","Ischyrosyrphus glaucius ","Ischyrosyrphus laternarius ","Lasiogfossum apristum ","Lasiogfossum laeviventre ","Lasiogfossum problematicum ","Lasioglossum harmandi ","Lasioglossum proximatum","Lasioglossum sp1 M_PL_056","Leptura ochraceofasciata ","Leucozona lucorum","Libythea celtis ","Ligus honshuensis ","Lucilia sp1 M_PL_056","Macroglossum fringilla ","Mallota dimorpha ","Megachile sp1 M_PL_056","Megachile sumizome ","Megachile tsurugensis ","Melitaea niphora ","Metasyrphus sp1 M_PL_056","Nemophora amurensis ","Nomada issikii ","Nomada sp1 M_PL_056","Oedemeronia manicata ","Ourapterix persica ","Papilio xuthus ","Papilla japonica ","Parnassius gracialis ","Phyllobius picepes ","Pidonia semiobscura ","Pidonia yokoyamai ","Platyptilia sachalinensis ","Podabrus malthinoides","Psithyrus norvegicus ","Psychostrophia melanorgia ","Pyrrhata annulicornis ","Rapala erata ","Rhingia laevigata ","Sitarea vibrissata ","Sphaerophoria javana ","Sphegina sp1 M_PL_056","Stigmus sp1 M_PL_056","Strongylogaster sp1 M_PL_056","Tachina luteola ","Tenthredo basizonata ","Tenthredo japonica ","Unidentified sp1 M_PL_056","Unidentified sp10 M_PL_056","Unidentified sp100 M_PL_056","Unidentified sp101 M_PL_056","Unidentified sp102 M_PL_056","Unidentified sp103 M_PL_056","Unidentified sp106 M_PL_056","Unidentified sp107 M_PL_056","Unidentified sp109 M_PL_056","Unidentified sp11 M_PL_056","Unidentified sp110 M_PL_056","Unidentified sp111 M_PL_056","Unidentified sp112 M_PL_056","Unidentified sp113 M_PL_056","Unidentified sp114 M_PL_056","Unidentified sp115 M_PL_056","Unidentified sp116 M_PL_056","Unidentified sp117 M_PL_056","Unidentified sp119 M_PL_056","Unidentified sp12 M_PL_056","Unidentified sp120 M_PL_056","Unidentified sp121 M_PL_056","Unidentified sp122 M_PL_056","Unidentified sp123 M_PL_056","Unidentified sp124 M_PL_056","Unidentified sp125 M_PL_056","Unidentified sp126 M_PL_056","Unidentified sp127 M_PL_056","Unidentified sp128 M_PL_056","Unidentified sp13 M_PL_056","Unidentified sp130 M_PL_056","Unidentified sp131 M_PL_056","Unidentified sp132 M_PL_056","Unidentified sp133 M_PL_056","Unidentified sp134 M_PL_056","Unidentified sp135 M_PL_056","Unidentified sp136 M_PL_056","Unidentified sp137 M_PL_056","Unidentified sp138 M_PL_056","Unidentified sp139 M_PL_056","Unidentified sp14 M_PL_056","Unidentified sp140 M_PL_056","Unidentified sp141 M_PL_056","Unidentified sp142 M_PL_056","Unidentified sp143 M_PL_056","Unidentified sp144 M_PL_056","Unidentified sp145 M_PL_056","Unidentified sp146 M_PL_056","Unidentified sp147 M_PL_056","Unidentified sp148 M_PL_056","Unidentified sp149 M_PL_056","Unidentified sp150 M_PL_056","Unidentified sp151 M_PL_056","Unidentified sp152 M_PL_056","Unidentified sp153 M_PL_056","Unidentified sp154 M_PL_056","Unidentified sp155 M_PL_056","Unidentified sp156 M_PL_056","Unidentified sp16 M_PL_056","Unidentified sp17 M_PL_056","Unidentified sp18 M_PL_056","Unidentified sp2 M_PL_056","Unidentified sp20 M_PL_056","Unidentified sp21 M_PL_056","Unidentified sp24 M_PL_056","Unidentified sp27 M_PL_056","Unidentified sp28 M_PL_056","Unidentified sp29 M_PL_056","Unidentified sp32 M_PL_056","Unidentified sp33 M_PL_056","Unidentified sp34 M_PL_056","Unidentified sp36 M_PL_056","Unidentified sp38 M_PL_056","Unidentified sp39 M_PL_056","Unidentified sp4 M_PL_056","Unidentified sp40 M_PL_056","Unidentified sp41 M_PL_056","Unidentified sp43 M_PL_056","Unidentified sp44 M_PL_056","Unidentified sp47 M_PL_056","Unidentified sp48 M_PL_056","Unidentified sp49 M_PL_056","Unidentified sp5 M_PL_056","Unidentified sp50 M_PL_056","Unidentified sp51 M_PL_056","Unidentified sp52 M_PL_056","Unidentified sp53 M_PL_056","Unidentified sp55 M_PL_056","Unidentified sp57 M_PL_056","Unidentified sp6 M_PL_056","Unidentified sp60 M_PL_056","Unidentified sp61 M_PL_056","Unidentified sp62 M_PL_056","Unidentified sp64 M_PL_056","Unidentified sp65 M_PL_056","Unidentified sp66 M_PL_056","Unidentified sp67 M_PL_056","Unidentified sp68 M_PL_056","Unidentified sp69 M_PL_056","Unidentified sp7 M_PL_056","Unidentified sp70 M_PL_056","Unidentified sp72 M_PL_056","Unidentified sp75 M_PL_056","Unidentified sp76 M_PL_056","Unidentified sp78 M_PL_056","Unidentified sp79 M_PL_056","Unidentified sp80 M_PL_056","Unidentified sp81 M_PL_056","Unidentified sp83 M_PL_056","Unidentified sp88 M_PL_056","Unidentified sp9 M_PL_056","Unidentified sp90 M_PL_056","Unidentified sp91 M_PL_056","Unidentified sp92 M_PL_056","Unidentified sp94 M_PL_056","Unidentified sp95 M_PL_056","Unidentified sp96 M_PL_056","Unidentified sp97 M_PL_056","Unidentified sp98 M_PL_056","Unidentified sp99 M_PL_056","Vanessa indica ","Vespa simillima","Vespula austriaca ","Videa alneti "
"Euonymus macropterus",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pedicularis resupinata ",0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyrola incarnata",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senecio nemorensis",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhododendron wadanum",0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synurus pungens",0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aster ageratoides amplexifolius",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aster glehni",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dianthus superbus longicalycinus",0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acer japonicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cacalia hastata farfaraefolia",0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cypripedium guttatum ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
